row,username,date_time,map_num,helper,points_to,rec_path,rec_score,other_wump,help_rt
594,1,2/25/23 3:58,110,x,NA,"[""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right""]",92,NA,0
604,1,2/25/23 3:58,103,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
614,1,2/25/23 3:58,104,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
624,1,2/25/23 3:59,106,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
634,1,2/25/23 3:59,102,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
644,1,2/25/23 3:59,105,x,NA,"[""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left""]",92,NA,0
654,1,2/25/23 3:59,108,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
664,1,2/25/23 3:59,109,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
674,1,2/25/23 3:59,101,x,NA,"[""up"",""right"",""right"",""up"",""up"",""up""]",94,NA,0
684,1,2/25/23 3:59,107,x,NA,"[""up"",""up"",""up"",""left"",""left"",""up""]",94,NA,0
974,2,2/25/23 4:27,104,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
984,2,2/25/23 4:27,108,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
994,2,2/25/23 4:27,102,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1004,2,2/25/23 4:27,106,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1014,2,2/25/23 4:28,105,x,NA,"[""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left""]",92,NA,0
1024,2,2/25/23 4:28,109,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1034,2,2/25/23 4:28,103,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1044,2,2/25/23 4:28,107,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1054,2,2/25/23 4:28,101,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1064,2,2/25/23 4:28,110,x,NA,"[""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right""]",92,NA,0
1354,3,2/25/23 5:00,102,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1364,3,2/25/23 5:00,109,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1374,4,2/25/23 5:00,102,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1384,3,2/25/23 5:00,106,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1394,3,2/25/23 5:00,103,x,NA,"[""up"",""up"",""up"",""right"",""right"",""up""]",94,NA,0
1404,4,2/25/23 5:00,109,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1414,3,2/25/23 5:00,105,x,NA,"[""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left""]",92,NA,0
1424,3,2/25/23 5:00,107,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1434,4,2/25/23 5:01,106,x,NA,"[""left"",""left"",""up"",""up"",""up"",""up""]",94,NA,0
1444,3,2/25/23 5:01,104,x,NA,"[""up"",""up"",""right"",""right"",""up"",""up""]",94,NA,0
1454,3,2/25/23 5:01,101,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
