username,date_time,map_num,helper,points_to,rec_path,rec_score,other_wump,help_rt
1,4/17/23 15:59,105,x,NA,"[""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left""]",92,NA,0
1,4/17/23 15:59,102,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1,4/17/23 15:59,104,x,NA,"[""up"",""up"",""up"",""right"",""right"",""up""]",94,NA,0
1,4/17/23 15:59,103,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
1,4/17/23 16:00,101,x,NA,"[""right"",""right"",""up"",""up"",""up"",""up""]",94,NA,0
1,4/17/23 16:00,110,x,NA,"[""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right""]",92,NA,0
1,4/17/23 16:00,107,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1,4/17/23 16:00,109,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1,4/17/23 16:00,108,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
1,4/17/23 16:00,106,x,NA,"[""left"",""left"",""up"",""up"",""up"",""up""]",94,NA,0
1,4/17/23 16:06,6,h,"(1, 1)","[""up"",""up"",""right"",""up"",""right"",""up""]",-6,"[""(0, 3)"",""(2, 2)""]",1
1,4/17/23 16:06,27,r,"(1, 3)","[""left"",""left"",""up"",""left"",""up"",""left"",""up"",""up"",""right"",""right""]",90,"[""(3, 3)"",""(2, 2)""]",2
1,4/17/23 16:07,4,r,"(0, 2)","[""up"",""right"",""right"",""up"",""up"",""up""]",94,"[""(1, 3)"",""(3, 2)""]",2
1,4/17/23 16:07,2,h,"(1, 1)","[""up"",""up"",""right"",""up"",""right"",""up""]",94,"[""(0, 3)"",""(3, 2)""]",2
1,4/17/23 16:08,23,r,"(4, 4)","[""up"",""up"",""left"",""up"",""left"",""up""]",-6,"[""(2, 2)"",""(1, 4)""]",1
1,4/17/23 16:09,15,r,"(2, 0)","[""up"",""left"",""left"",""up"",""up"",""up""]",94,"[""(3, 2)"",""(1, 2)""]",3
1,4/17/23 16:09,14,r,"(3, 2)","[""right"",""up"",""right"",""right"",""right"",""up"",""up"",""left"",""up"",""left""]",90,"[""(2, 3)"",""(4, 4)""]",2
1,4/17/23 16:10,26,h,"(4, 2)","[""left"",""left"",""up"",""up"",""left"",""up"",""right"",""up""]",-8,"[""(1, 4)"",""(0, 1)""]",1
1,4/17/23 16:10,3,h,"(1, 0)","[""up"",""up"",""right"",""up"",""up"",""right""]",94,"[""(2, 3)"",""(3, 1)""]",3
1,4/17/23 16:11,22,r,"(4, 4)","[""left"",""left"",""up"",""left"",""up"",""up"",""right"",""up""]",-8,"[""(0, 3)"",""(2, 2)""]",1
1,4/17/23 16:12,11,h,"(3, 0)","[""up"",""right"",""right"",""up"",""right"",""up"",""up"",""left""]",92,"[""(2, 3)"",""(4, 1)""]",3
1,4/17/23 16:12,7,h,"(1, 1)","[""up"",""up"",""right"",""right"",""up"",""up""]",94,"[""(0, 3)"",""(4, 2)""]",2
1,4/17/23 16:13,10,r,"(2, 2)","[""right"",""right"",""up"",""right"",""right"",""up"",""up"",""up"",""left"",""left""]",-10,"[""(0, 3)"",""(1, 1)""]",1
1,4/17/23 16:13,19,h,"(2, 1)","[""left"",""up"",""up"",""left"",""up"",""up""]",-6,"[""(0, 2)"",""(4, 3)""]",1
1,4/17/23 16:14,20,r,"(3, 2)","[""up"",""up"",""up"",""left"",""left"",""up""]",94,"[""(4, 4)"",""(0, 2)""]",2
1,4/17/23 16:15,13,h,"(1, 1)","[""right"",""right"",""up"",""up"",""right"",""up"",""left"",""up""]",-8,"[""(3, 1)"",""(1, 4)""]",1
1,4/17/23 16:15,18,h,"(4, 2)","[""left"",""left"",""up"",""up"",""left"",""up"",""up"",""right""]",-8,"[""(2, 3)"",""(0, 1)""]",2
1,4/17/23 16:16,16,r,"(4, 4)","[""up"",""left"",""left"",""up"",""up"",""up""]",-6,"[""(3, 2)"",""(0, 2)""]",1
1,4/17/23 16:17,12,r,"(0, 2)","[""up"",""right"",""right"",""right"",""up"",""up"",""left"",""up""]",-8,"[""(4, 1)"",""(1, 3)""]",1
1,4/17/23 16:18,9,h,"(1, 3)","[""up"",""up"",""up"",""up"",""right"",""right""]",-6,"[""(2, 2)"",""(3, 1)""]",3
1,4/17/23 16:18,28,h,"(2, 0)","[""up"",""left"",""left"",""left"",""up"",""up"",""up"",""right""]",-8,"[""(2, 3)"",""(3, 2)""]",2
1,4/17/23 16:19,1,h,"(2, 0)","[""up"",""right"",""right"",""right"",""up"",""up"",""left"",""up""]",92,"[""(2, 2)"",""(4, 3)""]",3
1,4/17/23 16:19,8,h,"(0, 4)","[""right"",""right"",""right"",""up"",""right"",""up"",""up"",""left"",""up"",""left""]",-10,"[""(3, 2)"",""(2, 1)""]",1
1,4/17/23 16:20,5,r,"(2, 3)","[""right"",""right"",""right"",""up"",""right"",""up"",""up"",""left"",""up"",""left""]",-10,"[""(3, 2)"",""(0, 2)""]",2
1,4/17/23 16:21,17,r,"(2, 3)","[""up"",""up"",""left"",""up"",""up"",""left""]",94,"[""(1, 2)"",""(4, 3)""]",3
1,4/17/23 16:22,21,r,"(4, 4)","[""left"",""up"",""left"",""left"",""up"",""up"",""right"",""up""]",-108,"[""(1, 4)"",""(0, 2)""]",1
1,4/17/23 16:22,25,r,"(1, 0)","[""left"",""up"",""left"",""left"",""left"",""up"",""up"",""right"",""right"",""up""]",-10,"[""(1, 2)"",""(4, 3)""]",2
1,4/17/23 16:23,24,h,"(4, 2)","[""up"",""left"",""left"",""left"",""up"",""left"",""up"",""up"",""right"",""right""]",-10,"[""(1, 3)"",""(2, 0)""]",1
2,4/17/23 20:38,105,x,NA,"[""right"",""right"",""up"",""right"",""up"",""up"",""left"",""up""]",92,NA,0
2,4/17/23 20:39,103,x,NA,"[""up"",""up"",""up"",""right"",""right"",""up""]",94,NA,0
2,4/17/23 20:39,106,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
2,4/17/23 20:39,109,x,NA,"[""up"",""up"",""left"",""left"",""up"",""up""]",94,NA,0
2,4/17/23 20:39,107,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
2,4/17/23 20:39,110,x,NA,"[""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right""]",92,NA,0
2,4/17/23 20:39,108,x,NA,"[""up"",""up"",""up"",""up"",""left"",""left""]",94,NA,0
2,4/17/23 20:39,101,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
2,4/17/23 20:40,104,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
2,4/17/23 20:40,102,x,NA,"[""right"",""up"",""up"",""up"",""up"",""right""]",94,NA,0
2,4/17/23 20:46,17,r,"(2, 3)","[""up"",""up"",""left"",""up"",""up"",""left""]",94,"[""(2, 0)"",""(4, 3)""]",7
2,4/17/23 20:46,4,h,"(0, 2)","[""right"",""up"",""up"",""up"",""up"",""right""]",94,"[""(2, 3)"",""(2, 0)""]",6
2,4/17/23 20:46,24,h,"(4, 2)","[""up"",""left"",""left"",""left"",""up"",""up"",""right"",""up""]",92,"[""(1, 4)"",""(3, 2)""]",7
2,4/17/23 20:47,1,r,"(2, 0)","[""up"",""right"",""up"",""up"",""right"",""up""]",-6,"[""(1, 4)"",""(2, 2)""]",5
2,4/17/23 20:47,5,r,"(2, 3)","[""up"",""up"",""up"",""right"",""up"",""right""]",94,"[""(0, 4)"",""(2, 0)""]",7
2,4/17/23 20:48,11,h,"(3, 0)","[""right"",""right"",""up"",""up"",""right"",""up"",""left"",""up""]",-8,"[""(1, 1)"",""(1, 4)""]",4
2,4/17/23 20:48,2,r,"(0, 4)","[""right"",""right"",""up"",""up"",""up"",""up""]",94,"[""(1, 2)"",""(4, 0)""]",4
